"","cluster_no","size","PlaceLabel","PlaceNumber","NbElements","NbSets","PlaceDetail"
"122",5,26,"P125(1-2)",125,1,2,"{Tsou_Shang-Hsiung} - {Illinois;Michigan}"
"123",8,10,"P126(1-2)",126,1,2,"{Wang_C.H.} - {Princeton;Yale}"
"124",6,21,"P127(1-2)",127,1,2,"{Wang_C.Y.} - {Harvard;Tufts}"
"125",1,35,"P128(1-2)",128,1,2,"{Wang_K.S.} - {Columbia;Ohio State}"
"126",8,10,"P129(1-2)",129,1,2,"{Wang_Thomas Chenting} - {St. John's University;Yale}"
"127",4,20,"P130(1-2)",130,1,2,"{Wang_Tsu-lien} - {Chicago;Grinnell}"
"128",4,20,"P131(1-2)",131,1,2,"{Wei_Sydney Koh} - {Chicago;Oberlin}"
"129",1,35,"P132(1-2)",132,1,2,"{Wells_Ralph Crane} - {Colorado;Columbia}"
"130",2,22,"P133(1-2)",133,1,2,"{Wong_I.P.} - {New York University;Northwestern}"
"131",2,22,"P134(1-2)",134,1,2,"{Wong_James} - {New Bedford;New York University}"
"132",5,26,"P135(1-2)",135,1,2,"{Wong_Yuan D.} - {Michigan;Minnesota}"
"133",1,35,"P136(1-2)",136,1,2,"{Wool_Swain} - {Columbia;William & Mary}"
"134",7,28,"P137(1-2)",137,1,2,"{Wu_Pond S.} - {Purdue;Wisconsin}"
"135",1,35,"P138(1-2)",138,1,2,"{Wu_Shou Sing} - {Columbia;Harvard}"
"136",7,28,"P139(1-2)",139,1,2,"{Yang_Yung Ching} - {George Washington;Southern College}"
"137",4,20,"P140(1-2)",140,1,2,"{Yao_Y.L.} - {Chicago;Yale}"
"138",5,26,"P141(1-2)",141,1,2,"{Yap_Raymond} - {Minnesota;Tulane}"
"139",3,21,"P142(1-2)",142,1,2,"{Yapp_Daniel K.F.} - {Pennsylvania;Swarthmore}"
"140",5,26,"P143(1-2)",143,1,2,"{Yeh_Chia-tsun} - {Cornell;Michigan}"
"141",4,20,"P144(1-2)",144,1,2,"{Yung_Kuanty} - {Coe College;Iowa State}"
"142",6,21,"P145(18-1)",145,18,1,"{Chang_Hsueh-Wen;Chang_Kin-fang;Chang_Loy;Fu_W.S.;Ho_Philip L.;MacKinnon_Joseph A.;New_W.S.;Reed_John T.S.;Shen_Pao Guay;Soong_T.A.;Sung_I-chung;Sung_Jess;Wadsworth_Julius;Wen_Yu-Ching;Woo_L.S.;Woo_S.T.;Yu_Zu Shung;Zau_Z.D.} - {Harvard}"
"143",5,26,"P146(18-1)",146,18,1,"{Conant_Harold A.R.;Fistere_Joseph Jr.;Hsu_Kuan-san;Hu_Dickson;King_Chau;Koo_Kong Loh;Koo_Nee Sun;Kuo_Cheng Chih;Lau_Waan Wai;Lee_Dih-yuin;Lew_Gideon T.;Li_Kien Yo;Mead_L.J.;Palmer_Walter;Tsou_P.W.;Wang_Ching-Shi;Yu_T.M.;Yui_Ming} - {Cornell}"
"144",7,28,"P147(16-1)",147,16,1,"{Arnold_Harrison;Arnold_Millard;Chow_Chester T.C.;Dunn_T.B.;Fryer_George B.;Howard_Edward P.;Kwan_Ko Kwai;Kwok_Peter Y.;Laidlaw_Ashton;Lee_J.B.;Li_Teh-young;McIntosch_Melville .E;Perkins_James E.;Sawyer_John B.;Service_Robert R.;Wong_Yu Fong} - {California}"
"145",3,21,"P148(16-1)",148,16,1,"{Chang_Tuh-yui;Chao_Shen;Chen_J.K.;Chow_Sze Tsong;Fan_Robert;How_Bang;Hsu_Tse Shing;Hsu_W. Imin;Li_T.M.;Lutey_Kent;Ting_H.N.;Tyau_E.S.;Wei_Lott H.T.;Yang_Fred Y.T.;Yang_Sidney Hsi Yuan;Yen_H.L.} - {Pennsylvania}"
"146",1,35,"P149(15-1)",149,15,1,"{Calder_A. Bland;Chang_Z.L.;Choy_J.K.;Hsu_Jabin;Lee_Milton C.;Lee_Poy Gum;Lo_Hsiao-Yung;Mei_Cheuk-Shang;Rhame_John F.;Seibert_Elvin;Simmons_W.M.;Woo_Herbert;Woo_Tonzoo C.;Yang_Wei-Ping;Yen_K.T.} - {Columbia}"
"147",5,26,"P150(15-1)",150,15,1,"{Chen_Henry C.H.;Chen_Ssu-Tu;Feng_Chen Ren;Heald_Wallace S.;Hsu_Edward Y.;King_Benjamin;Louison_B.H.;Marcus_Morey;Sellett_George;Tsha_Kingwell;Wang_Kwan-Hsien;Wong_Shiu Hung;Wu_John C.H.;Yang_Jenken;Zee_T.T.} - {Michigan}"
"148",8,10,"P151(12-1)",151,12,1,"{Armour_Wendell;Chen_L.T.;Chou_Tzu Pei;Chung_Daniel M.;Hillhouse_Francis Betts;Lee_Tsufah;Matsumato_Shigeharu;Murphy_H.K.;Sheridan_H.J.;Tan_W.H.;Throop_Montgomery;Yung_Barlett G.} - {Yale}"
"149",2,22,"P152(11-1)",152,11,1,"{Khong_Loy;Kwok_Percy;Lee_Edward W.;Low_Yohmin;Pun_Tsze;Wang_Tom Z.;Way_Fritz P.;Wu_Hueyjung L.;Wythe_Donald H.;Yen_Johnson;Yui_K.L.} - {New York University}"
"150",2,22,"P153(10-1)",153,10,1,"{Avery_Eric;Belknap_W.C.;Chen_Ping-tsang;Clair_Verne;Cornish_Albert C.;Daub_W.H.;Ely_J.A.;Hoyt_Lansing;Logan_Tracy H.;Nichols_Charles A._Jr.} - {Princeton}"
"151",5,26,"P154(7-1)",154,7,1,"{Baker_John Earl;Brewer_R.W.;Culbertson_C.D.;Hager_A.R.;Mokrejs_J. John;Neprud_Carl;Stocker_E.C.} - {Wisconsin}"
"152",7,28,"P155(7-1)",155,7,1,"{Chen_Sidney Y.;Ede_Franck C.;Hsu_Paul;Kuo_Y.M.;Kwok_Walter;Lee_T. Tsufan;Li_S.D.} - {Massachusetts Institute of Technology}"
"153",5,26,"P156(7-1)",156,7,1,"{Chung_Will T.;Dawson_Owen L.;Farnsworth_Linden L.;Kwong_Frederick G.;Pawn_Zunlean;Wong_Benjamin;Wong_W.F.} - {Illinois}"
"154",4,20,"P157(5-1)",157,5,1,"{Ibusuki_Hidehiko;Lee_John Y.;Lowe_Chuan-Hwa;Moy_Howard R.;Yen_Loo-Ching} - {Chicago}"
"155",2,22,"P158(4-1)",158,4,1,"{Butrick_Richard P.;Cleary_Frank C.;Collins_Daniel J.;Ridgway_J.W.} - {Georgetown}"
"156",8,10,"P160(4-1)",160,4,1,"{Nance_Dana W.;Nance_William K.;Soong_T.L.;Vaughn_Charles S.} - {Vanderbilt}"
"157",2,22,"P161(3-1)",161,3,1,"{Abend_Hallet;Iseri_K.T.;Wong_Ralph B.} - {Stanford}"
"158",2,22,"P164(3-1)",164,3,1,"{Fritz_Chester;Painter_Wilfred L.;Smith_W. Rector} - {Washington}"
"159",8,10,"P165(3-1)",165,3,1,"{Hirsh_Cal S.;Howes_James Marvin;Irle_K.W.} - {Reed}"
"160",7,28,"P166(3-1)",166,3,1,"{Howard_Hungerford B.;Siroff_Michael P.;Wong_James Norman} - {Southern California}"
"161",7,28,"P167(3-1)",167,3,1,"{Hunt_William P.;Li_Kang;Shen_T.C.} - {George Washington}"
"162",7,28,"P168(3-1)",168,3,1,"{Lockhart_Charles M.;Sah_F.K.;Yen_L.C.} - {Purdue}"
"163",1,35,"P169(2-1)",169,2,1,"{Baldwin_Berry O.;Plant_Woodforde H.} - {Trinity}"
"164",5,26,"P170(2-1)",170,2,1,"{Bates_Milton Marcus;Sun_Y.F. Ralph} - {Brown}"
"165",2,22,"P172(2-1)",172,2,1,"{Davis_Monnett B.;Roberts_R.P.} - {Colorado}"
"166",7,28,"P173(2-1)",173,2,1,"{Harkson_US.;Miller_H.P.} - {Nebraska}"
"167",3,21,"P175(2-1)",175,2,1,"{Nichols_Ralph B.;Welch_Herbert} - {Wesleyan}"
"168",5,26,"P177(1-1)",177,1,1,"{Bau_C.L.} - {Minnesota}"
"169",1,35,"P180(1-1)",180,1,1,"{Boynton_C.L.} - {Pomona}"
"170",7,28,"P181(1-1)",181,1,1,"{Brown_Irving S.} - {Drake}"
"171",3,21,"P185(1-1)",185,1,1,"{Chang_Samuel H.} - {Haverford}"
"172",5,26,"P189(1-1)",189,1,1,"{Crowe_John V.} - {Indiana}"
"173",6,21,"P191(1-1)",191,1,1,"{Drumright_E.F.} - {Oklahoma}"
"174",4,20,"P195(1-1)",195,1,1,"{Howe_Sam} - {Pratt Institute}"
"175",7,28,"P196(1-1)",196,1,1,"{Johnson_Truman R.} - {Occidental}"
"176",2,22,"P197(1-1)",197,1,1,"{Lang_Bak Wah} - {Northwestern}"
"177",2,22,"P198(1-1)",198,1,1,"{Lee_Sik Chiu} - {New Bedford}"
"178",7,28,"P199(1-1)",199,1,1,"{Lee_Tsu Hsien} - {Rensselaer Polytechnic Institute}"
"179",6,21,"P201(1-1)",201,1,1,"{Marchman_William R.} - {Washington & Lee}"
"180",7,28,"P204(1-1)",204,1,1,"{Owyang_George T.} - {Ohio State}"
"181",4,20,"P209(1-1)",209,1,1,"{Rossiter_Fred J.} - {Iowa State}"
"182",2,22,"P218(1-1)",218,1,1,"{Vanderburgh_R.M.} - {Wooster}"
"183",1,35,"P221(1-1)",221,1,1,"{Wilbur_Hollis A.} - {Ohio Wesleyan}"
