PlaceLabel,Name_eng,Name_zh,Field_high,period,1,2,3,4,5,6
P081(1-2),Kops_Paul F. de Bruyn,,Law,1919-1935,North Dakota,George Washington,,,,
P069(1-2),Hertz_Harold,餃爾斯,Business & Commerce,1919-1935,Cornell,Georgetown,,,,
P060(1-2),Engdahl_Russell,,Sciences,1919-1935,Washington,Georgetown,,,,
P063(1-2),Freeman_Jo Fisher,,Humanities,1919-1935,Arizona,Harvard,,,,
P116(1-2),Shih_Kuo-Kang,史國綱,Humanities,1919-1935,Beloit,Harvard,,,,
P078(1-2),Jee_Luther M.,朱錫年,Humanities,1909-1918,California,Harvard,,,,
P138(1-2),Wu_Shou Sing,吳守信,,1919-1935,Columbia,Harvard,,,,
P104(1-2),Meilman_Samuel L.,,Business & Commerce,1919-1935,Cornell,Harvard,,,,
P051(1-2),Chiao_Wen Shou,喬文壽,Business & Commerce,1919-1935,Denison,Harvard,,,,
P096(1-2),Lockwood_William W.,,Humanities,1883-1908,DePauw,Harvard,,,,
P145(18-1),Chang_Loy,琊萊,Business & Commerce,1909-1918,Harvard,Harvard,,,,
P058(1-2),Dunlap_A.M.,鄧樂普,Medicine,1883-1908,Illinois,Harvard,,,,
P033(2-2),Parker_Frederick A.,巴爾克,Sciences,1909-1918,Massachusetts Institute of Technology,Harvard,,,,
P110(1-2),Raven_Walter F.,,Humanities,1919-1935,Santa Clara,Harvard,,,,
P127(1-2),Wang_C.Y.,王榰亞,Sciences,1919-1935,Tufts,Harvard,,,,
P062(1-2),Foo_Y.C.,傅耀誠,Business & Commerce,1919-1935,Washington,Harvard,,,,
P068(1-2),Harrington_William B.,哈靈敦,Law,1919-1935,Washington & Lee,Harvard,,,,
P029(3-2),Ho_Teh-Kuei,何德奎,Business & Commerce,1919-1935,Wisconsin,Harvard,,,,
P029(3-2),Sze_F.C.,施博羣,Humanities,1909-1918,Wisconsin,Harvard,,,,
P038(2-2),Tsao_Y.S.,曹蝥祥,Business & Commerce,1909-1918,Yale,Harvard,,,,
P038(2-2),Yen_Fu-ching,顔福慶,Medicine,1909-1918,Yale,Harvard,,,,
P156(7-1),Dawson_Owen L.,,Sciences,1909-1918,Illinois,Illinois,,,,
P055(1-2),Chung_Pau Sien,鍾寶璇,Sciences,1909-1918,Iowa,Illinois,,,,
P106(1-2),Moh_H.Y.,穆藕初,Sciences,1909-1918,Wisconsin,Illinois,,,,
P120(1-2),Tai_Tse-Chien,戴志騫,Law,1909-1918,New York State,Iowa,,,,
P090(1-2),Lin_Hsi-cheah,林熙傑,Business & Commerce,1919-1935,Chicago,Iowa State,,,,
P144(1-2),Yung_Kuanty,容觀棣,Humanities,1919-1935,Coe College,Iowa State,,,,
P209(1-1),Rossiter_Fred J.,,Sciences,1919-1935,Iowa State,Iowa State,,,,
P107(1-2),Moy_Ernest K.,梅其駒,Medicine,1909-1918,Chicago,Jenner Medical College,,,,
P124(1-2),Tsiang_K.S.,蔣柯亭,Sciences,1909-1918,Illinois,Louisiana,,,,
P112(1-2),Robbins_F.L.,,,1883-1908,Massachusetts Institute of Technology,Massachusetts College of Pharmacy,,,,
P080(1-2),Ko_I. Chih,葛益熾,Sciences,1919-1935,Purdue,Massachusetts Institute of Technology,,,,
P053(1-2),Chinn_Howard C.,陳燁樞,Engineering,1919-1935,California,Michigan,,,,
P143(1-2),Yeh_Chia-tsun,葉家俊,Engineering,1919-1935,Cornell,Michigan,,,,
P125(1-2),Tsou_Shang-Hsiung,鄒尙能,Engineering,1919-1935,Illinois,Michigan,,,,
P150(15-1),Chen_Henry C.H.,陳正成,Sciences,1919-1935,Michigan,Michigan,,,,
P150(15-1),Chen_Ssu-Tu,陳思度,Humanities,1919-1935,Michigan,Michigan,,,,
P150(15-1),Wong_Shiu Hung,黃兆鴻,Sciences,1919-1935,Michigan,Michigan,,,,
P150(15-1),Sellett_George,,Law,1919-1935,Michigan,Michigan,,,,
P150(15-1),King_Benjamin,金泊銘,Sciences,1919-1935,Michigan,Michigan,,,,
P077(1-2),Inui_Kiyosue,乾椅末,Law,1883-1908,Tokyo Imperial,Michigan,,,,
P135(1-2),Wong_Yuan D.,黃元道,,1909-1918,Michigan,Minnesota,,,,
P193(1-1),Franklin_C.S.,,Law,1909-1918,Mississippi,Mississippi,,,,
P123(1-2),Tsai_Shing Wu,蔡星五,Business & Commerce,1909-1918,Chicago,New York University,,,,
P049(1-2),Chen_Reignson C.,陳長桐,Business & Commerce,1919-1935,Colorado,New York University,,,,
P026(4-2),Lee_Alfred S.,李士衡,,1919-1935,Columbia,New York University,,,,
P026(4-2),Liang_Louis K.L.,梁官榴,Business & Commerce,1919-1935,Columbia,New York University,,,,
P026(4-2),Chu_Percy,朱博泉,,1919-1935,Columbia,New York University,,,,
P074(1-2),Huang_Chester,黃儉翊,Humanities,1919-1935,Grinnell,New York University,,,,
P134(1-2),Wong_James,黄漢彦,,1919-1935,New Bedford,New York University,,,,
P133(1-2),Wong_I.P.,黄耀邦,Business & Commerce,1919-1935,Northwestern,New York University,,,,
P121(1-2),Tang_Paul,唐寶璜,,1909-1918,Pennsylvania,New York University,,,,
P118(1-2),Speers_J.M._Jr.,施雅各,Humanities,1909-1918,Princeton,New York University,,,,
P171(2-1),Bryan_Robert T.,,Law,1909-1918,North Carolina,North Carolina,,,,
P086(1-2),Lee_Herbert C.T.,李中道,Law,1919-1935,Michigan,Northwestern,,,,
P045(1-2),Chan_Guy Hugh,陳繼堯,Medicine,1909-1918,Washington,Northwestern,,,,
P067(1-2),Gill_F.W.,,Humanities,1883-1908,Maryville,Ohio State,,,,
P204(1-1),Owyang_George T.,歐陽帝擢,Medicine,1919-1935,Ohio State,Ohio State,,,,
P059(1-2),Dunn_Frank B.,鄧栽岑,Sciences,1909-1918,Purdue,Ohio State,,,,
P221(1-1),Wilbur_Hollis A.,,Humanities,1883-1908,Ohio Wesleyan,Ohio Wesleyan,,,,
P044(1-2),Chai_Ke Kung,翟克恭,Business & Commerce,1919-1935,Antioch,Pennsylvania,,,,
P099(1-2),Loo_W.Y.,盧子譲,Sciences,1919-1935,California,Pennsylvania,,,,
P122(1-2),Tsai_Eaton K.C.,蔡公椿,Business & Commerce,1909-1918,Grinnell,Pennsylvania,,,,
P052(1-2),Ching_Chi Kwan,程苹焜,Business & Commerce,1919-1935,Hawaii,Pennsylvania,,,,
P043(1-2),Ch'en_Yangyi,陳洋溢,Business & Commerce,1919-1935,Oberlin,Pennsylvania,,,,
P028(3-2),Chang_Ting-Chin,張廷金,Engineering,1909-1918,Ohio State,Pennsylvania,,,,
P028(3-2),Hsueh_Wei Fan,薛維藩,Business & Commerce,1919-1935,Ohio State,Pennsylvania,,,,
P028(3-2),Wong_Tse-Kong,王志剛,Business & Commerce,1919-1935,Ohio State,Pennsylvania,,,,
P148(16-1),Tyau_E.S.,刁信德,Medicine,1909-1918,Pennsylvania,Pennsylvania,,,,
P031(2-2),Wong_I.K.,王以敬,Medicine,1919-1935,St. John's University,Pennsylvania,,,,
P142(1-2),Yapp_Daniel K.F.,葉桂馥,Humanities,1909-1918,Swarthmore,Pennsylvania,,,,
P115(1-2),Shaw_Albert T.H.,邵曾華,Business & Commerce,1919-1935,Washington,Pennsylvania,,,,
P066(1-2),Gibb_John McGregor,餐晤,Humanities,1883-1908,Wesleyan,Pennsylvania,,,,
P047(1-2),Chen_Chun,陳湘濤,Humanities,1919-1935,Yale,Pennsylvania,,,,
P039(1-2),Anderson_Paul M.,安建生,Theology,1909-1918,Emporia College,Pittsburg Theological Seminary,,,,
P030(3-2),Wang_K.P.,王伯衡,Humanities,1909-1918,Columbia,Princeton,,,,
P109(1-2),Patton_C.E.,畢嘉羅,Law,1883-1908,Princeton,Princeton,,,,
P071(1-2),Ho_Ping-sung,何焫松,Humanities,1909-1918,Wisconsin,Princeton,,,,
P126(1-2),Wang_C.H.,王正序,Humanities,1909-1918,Yale,Princeton,,,,
P084(1-2),Kwo_K.T.,郭克悌,Sciences,1909-1918,California,Purdue,,,,
P168(3-1),Yen_L.C.,嚴連慶,Engineering,1909-1918,Purdue,Purdue,,,,
P168(3-1),Sah_F.K.,薩福均,Engineering,1909-1918,Purdue,Purdue,,,,
P075(1-2),Huang_Shu-Pei,黃叔塔,Engineering,1909-1918,Case School of Applied Studies,Rensselaer Polytechnic Institute,,,,
P102(1-2),May_Samuel C.C.,梅宗變,Engineering,1919-1935,Massachusetts Institute of Technology,Rensselaer Polytechnic Institute,,,,
P073(1-2),Hsu_Peter Kingman,涂少明,Medicine,1909-1918,California,Southern California,,,,
P129(1-2),Wang_Thomas Chenting,王正廷,Humanities,1909-1918,Yale,St. John's University,,,,
P161(3-1),Iseri_K.T.,井芹,Engineering,1919-1935,Stanford,Stanford,,,,
P141(1-2),Yap_Raymond,葉俊聰,,1919-1935,Minnesota,Tulane,,,,
P160(4-1),Nance_Dana W.,,Medicine,1919-1935,Vanderbilt,Vanderbilt,,,,
P160(4-1),Nance_William K.,,Medicine,1919-1935,Vanderbilt,Vanderbilt,,,,
P041(1-2),Bassett_Arthur,,Law,1883-1908,Missouri State,"Washington, St. Louis",,,,
P050(1-2),Cheu_Baihan,邱培涵,Sciences,1909-1918,Cornell,Wisconsin,,,,
P029(3-2),Tsai_Thomas Wen-hsi,蔡文照,,1919-1935,Harvard,Wisconsin,,,,
P137(1-2),Wu_Pond S.,伍灼泮,Engineering,1909-1918,Purdue,Wisconsin,,,,
P154(7-1),Baker_John Earl,,Humanities,1883-1908,Wisconsin,Wisconsin,,,,
P154(7-1),Neprud_Carl,,Humanities,1909-1918,Wisconsin,Wisconsin,,,,
P154(7-1),Stocker_E.C.,,Engineering,1909-1918,Wisconsin,Wisconsin,,,,
P089(1-2),Lin_D.Y.,林道揚,Sciences,1909-1918,Massachusetts Agricultural College,Yale,,,,
P082(1-2),Kung_Hsiang-hsi,孔祥熙,Humanities,1883-1908,Oberlin,Yale,,,,
P105(1-2),Millican_Frank R.,梅立德,Humanities,1909-1918,Reed,Yale,,,,
P097(1-2),Loh_Kai Zung,陸幹臣,,1919-1935,Vanderbilt,Yale,,,,
P151(12-1),Throop_Montgomery,都孟高,Humanities,1883-1908,Yale,Yale,,,,
