Community,order,size,diameter,avgpath,density,avgdegree,compactness,transitivity,dominance
1,10,43,3,1.6222222222222222,0.9555555555555555,8.6,0.7037037037037037,0.9574468085106383,0.04475198333734309
2,11,49,3,1.5818181818181818,0.8909090909090909,8.909090909090908,0.7151515151515152,0.8984771573604061,0.10773424006645567
3,13,65,3,1.7692307692307692,0.8333333333333334,10,0.6452991452991453,0.8897893030794165,0.14288901943983812
4,13,60,2,1.6153846153846154,0.7692307692307692,9.23076923076923,0.6923076923076923,0.8038834951456311,0.22460747319897045
