"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"Title/Qualifier"	"FullName"	"Chinese"	"Pinyin"	"University"	"Degree"	"Year"	"Page"	"PDF"
"Engineering"	"River Conservancy"	"Education"	"R00024"	"N00023"		"T. L. Chang"	"張自立"	"Zhang Zili"	"Illinois"	"M.S."		94	117
"Engineering"	"Municipal Works"	"Education"	"R00079"	"N00072"		"Henry Panhoe"	"彭回"	"Peng Hui"	"Illinois"	"C.E."		99	122
"Engineering"	"River Conservancy"	"Education"	"R00020"	"N00019"		"S. T. Hsu"	"徐世大"	"Xu Shida"	"Cornell"	"C.E."		94	117
"Engineering"	"Municipal Works"	"Education"	"R00080"	"N00073"		"Paul H. Hsu"	"徐佩璜"	"Xu Peihuang"	"M.I.T."	"B.S."		99	122
"Engineering"	"Engineering Research"	"Education"	"R00145"	"N00135"	"Prof."	"M. T. Hsu"	"徐名材"	"Xu Mingcai"	"M.I.T."	"B.S."		105	128
"Engineering"	"Chemical Engineering"	"Education"	"R00037"	"N00034"		"Zai-Ziong Zee"	"徐善祥"	"Xu Shanxiang"	"Columbia"	"Ph.D."		95	118
"Engineering"	"Electrical Power Engineering"	"Education"	"R00105"	"N00098"		"U. D. Hsu"	"徐恩第"	"Xu Endi"				102	125
"Engineering"	"Electrical Power Engineering"	"Education"	"R00098"	"N00091"		"C. Yun"	"憚震"	"Da Zhen"	"Wisconsin"	"M.E.E."		101	124
"Engineering"	"Chemical Engineering"	"Education"	"R00032"	"N00029"		"Z. C. Page"	"戴濟"	"Dai Ji"	"Miami"	"B.A."		95	118
"Engineering"	"Mining Engineering"	"Education"	"R00039"	"N00036"		"Tseng Yang-Fu"	"曾養甫"	"Ceng Yangfu"	"Pittsburgh"	"M.S."		96	119
"Engineering"	"Architecture"	"Education"	"R00069"	"N00062"		"Pin Chu"	"朱彬"	"Zhu Bin"	"Pennsylvania"	"M.Arch."		98	121
"Engineering"	"Municipal Works"	"Education"	"R00084"	"N00077"	"Late"	"Y. T. Chu"	"朱胞廷"	"Zhu Baoting"	"Cornell"	"M.C.E."		99	122
