"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"FullName"	"Chinese"	"Pinyin"	"Organisation"	"Type"	"Sublevel"	"Position"	"Rank"	"Status"	"Year_start"	"Year_end"	"Page"	"PDF"	"other_source"	
"Engineering"	"Mining Engineering"	"Position"	"R00069"	"N00035"	"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Lu-ho-Kou Coal Mining Company"	"Private company"		"Manager"		"Current"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00067"	"N00035"	"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Sino-Japanese Coal and Mining Company"	"Private company"	"Iron division"	"Chief engineer"		"Past"			95	118		
"Engineering"	"Electrical Manufacture"	"Position"	"R00195"	"N00123"	"Tsu Y. Lu"	"盧祖詒"	"Lu Zudai"	"National Construction Commission"	"Central government/administration"	"Electrical Machinery"	"Consulting engineer"		"Current"			104	127		
"Engineering"	"Electrical Manufacture"	"Position"	"R00194"	"N00123"	"Tsu Y. Lu"	"盧祖詒"	"Lu Zudai"	"Nankai University"	"Education/research"	"Electrical Engineering Department"	"Dean"	1	"Current"			104	127		
"Engineering"	"Mechanical Engineering"	"Position"	"R00100"	"N00056"	"W. P. Lo"	"盧維溥"	"Lu Weipu"	"Ministry of Industries"	"Central government/administration"	"Central Machine Works"	"Director"	1	"Current"			97	120		
"Engineering"	"Mechanical Engineering"	"Position"	"R00099"	"N00056"	"W. P. Lo"	"盧維溥"	"Lu Weipu"	"Curtiss Airplane Company"	"Private company"				"Past"			97	120		
"Engineering"	"Electrical Communication"	"Position"	"R00175"	"N00110"	"Y. K. Chow"	"秉玉坤"	"Bing Yukun"	"Chekiang Provincial Telephone Administration"	"Local government/administration"		"Engineer"	2	"Past"			103	126		
"Engineering"	"Mining Engineering"	"Position"	"R00082"	"N00042"	"Chin Yui"	"秦瑜"	"Qin Yu"	"National Construction Commission"	"Central government/administration"	"Technical Department"	"Department Head"	1	"Current"			96	119		
"Engineering"	"Municipal Works"	"Position"	"R00115"	"N00071"	"T. K. Cheng"	"程天固"	"Cheng Tiangu"	"Canton Municipal Government"	"Local government/administration"				"Past"			99	122		
"Engineering"	"Railway Engineering"	"Position"	"R00018"	"N00005"	"H. K. Cheng"	"程孝剛"	"Cheng Xiaogang"	"New Railways Construction Commission"	"Central government/administration"	"Mechanical Department"	"Chief"		"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00017"	"N00005"	"H. K. Cheng"	"程孝剛"	"Cheng Xiaogang"	"Chinese Eastern Railway"	"Railway/Infrastructure"		"Mechanical engineer"		"Past"			93	116		
"Engineering"	"Mining Engineering"	"Position"	"R00078"	"N00038"	"Chen I. Fang"	"程義法"	"Cheng Yifa"	"Ministry of Industries"	"Central government/administration"	"Mining division"	"Director"	1	"Current"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00077"	"N00038"	"Chen I. Fang"	"程義法"	"Cheng Yifa"	"Han-Yeh-Ping Company"	"Private company"	"Ping-Hsiang Colliery"	"Mining engineer"	2	"Past"			95	118		
"Engineering"	"Railway Engineering"	"Position"	"R00039"	"N00014"	"Y. Lo"	"羅英"	"Luo Ying"	"Chien-Tang Bridge"	"Railway/Infrastructure"				"Current"			93	116		
"Engineering"	"Mining Engineering"	"Position"	"R00076"	"N00037"	"P. Y. Hu"	"胡僮淵"	"Hu Tongyuan"	"Ministry of Industries"	"Central government/administration"		"Senior technical expert"	1	"Current"			95	118		
"Engineering"	"Mining Engineering"	"Position"	"R00075"	"N00037"	"P. Y. Hu"	"胡僮淵"	"Hu Tongyuan"	"Lungyen Iron Works"	"Factory/mine/station"		"Metallurgical Engineer"	2	"Past"			95	118		
"Engineering"	"Electrical Manufacture"	"Position"	"R00189"	"N00120"	"J. T. Hu"	"胡汝鼎"	"Hu Ruding"	"National Construction Commission"	"Central government/administration"	"Electrical manufacturing works"	"Director"		"Current"			104	127		
"Engineering"	"Electrical Communication"	"Position"	"R00173"	"N00108"	"Z. H. Hu"	"胡瑞祥"	"Hu Ruixiang"	"Ministry of Communications"	"Central government/administration"	"Department of Telegraph and Telephone"	"Chief engineer"	1	"Current"			103	126		
"Engineering"	"Electrical Communication"	"Position"	"R00171"	"N00108"	"Z. H. Hu"	"胡瑞祥"	"Hu Ruixiang"	"Nanking Telephone Administration"	"Local government/administration"		"Director"	2	"Past"			103	126		
"Engineering"	"Electrical Communication"	"Position"	"R00172"	"N00108"	"Z. H. Hu"	"胡瑞祥"	"Hu Ruixiang"	"Nanking Telephone Administration"	"Local government/administration"		"Chief engineer"	2	"Past"			103	126		
"Engineering"	"Electrical Communication"	"Position"	"R00170"	"N00108"	"Z. H. Hu"	"胡瑞祥"	"Hu Ruixiang"	"New Jersey Bell Telephone Company"	"Private company"				"Past"			103	126		
"Engineering"	"Railway Engineering"	"Position"	"R00038"	"N00013"	"Thomson E. S. Mao"	"茅以昇"	"Mao Yisheng"	"Chien-Tang Bridge"	"Railway/Infrastructure"				"Current"			93	116		
"Engineering"	"Naval Construction"	"Position"	"R00129"	"N00083"	"Chi-Foo Yeh"	"葉在馥"	"Ye Zaifu"	"Kiangnan Dock and Engineering Works"	"Factory/mine/station"	"Hull Division"	"Engineer"	2	"Current"			100	123		
"Engineering"	"Railway Engineering"	"Position"	"R00021"	"N00006"	"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"New Railways Construction Commission"	"Central government/administration"		"Secretary"		"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00020"	"N00006"	"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"Canton-Kowlung Railway"	"Railway/Infrastructure"		"Managing-director"		"Past"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00019"	"N00006"	"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"Ping-Han Railway"	"Railway/Infrastructure"		"Engineer"		"Past"			93	116		
"Engineering"	"Naval Construction"	"Position"	"R00130"	"N00084"	"Yun-Chiao Yeh"	"葉雲樵"	"Ye Yunqiao"	"Kiangnan Dock and Engineering Works"	"Factory/mine/station"	"Naval Shipbuilding Division"	"Inspector"	2	"Current"			100	123		
"Engineering"	"Engineering Research"	"Position"	"R00208"	"N00134"	"Fang-Yin Tsai"	"蔡方蔭"	"Cai Fangyin"	"Tsing-Hua University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Textile Engineering"	"Position"	"R00133"	"N00086"	"Y. Tsai"	"蔡雄"	"Cai Xiong"	"Mayar Silk Works"	"Private company"		"Manager"	1	"Current"			100	123		
"Engineering"	"Textile Engineering"	"Position"	"R00134"	"N00086"	"Y. Tsai"	"蔡雄"	"Cai Xiong"	"Mayar Silk Works"	"Private company"		"Engineer"	1	"Current"			100	123		
"Engineering"	"River Conservancy"	"Position"	"R00050"	"N00022"	"T. P. Hsueh"	"薛卓斌"	"Xue Zhuobin"	"Whangpoo Conservancy Board"	"Railway/Infrastructure"		"Assistant chief engineer"	2	"Current"			94	117		
"Engineering"	"Municipal Works"	"Position"	"R00119"	"N00075"	"T. S. Sih"	"薛次莘"	"Xue Cishen"	"City Government of Greater Shanghai"	"Local government/administration"	"Bureau of Highway"	"Engineer"	2	"Current"			99	122		
"Engineering"	"Textile Engineering"	"Position"	"R00139"	"N00088"	"Hsueh Tsu-kang"	"薛祖康"	"Xue Zukang"	"Yung-Tai Silk Filature"	"Private company"		"Assistant manager"	2	"Current"			100	123		
"Engineering"	"Textile Engineering"	"Position"	"R00140"	"N00088"	"Hsueh Tsu-kang"	"薛祖康"	"Xue Zukang"	"Yung-Tai Silk Filature"	"Private company"		"Engineer"	2	"Current"			100	123		
"Engineering"	"Engineering Research"	"Position"	"R00204"	"N00130"	"A. P. T. San"	"薩本楝"	"Sa Benlian"	"Ohio State University"	"Education/research"		"Visiting Professor"		"Current"			105	128		
"Engineering"	"Engineering Research"	"Position"	"R00203"	"N00130"	"A. P. T. San"	"薩本楝"	"Sa Benlian"	"Tsing-Hua University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Railway Engineering"	"Position"	"R00009"	"N00003"	"F. K. Sah"	"薩福均"	"Sa Fujun"	"Ministry of Railways"	"Central government/administration"	"Engineering Department"	"Director"		"Current"			92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00010"	"N00003"	"F. K. Sah"	"薩福均"	"Sa Fujun"	"New Railways Construction Commission"	"Central government/administration"	"Engineering Department"	"Chief"		"Current"			92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00008"	"N00003"	"F. K. Sah"	"薩福均"	"Sa Fujun"	"Ko-Pi Railway (Yunnan)"	"Railway/Infrastructure"		"Chief engineer"		"Past"			92	115		
"Engineering"	"Municipal Works"	"Position"	"R00120"	"N00076"	"H. C. Chiu"	"裘錫鈞"	"Qiu Xijun"	"City Government of Greater Shanghai"	"Local government/administration"	"Bureau of Public Works"	"Engineer"	2	"Current"			99	122		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00160"	"N00101"	"K. Hsu"	"許坤"	"Xu Kun"	"Peiping Tramway Company"	"Private company"		"Engineer"	2	"Current"			101	124		
"Engineering"	"Highway Engineering"	"Position"	"R00228"	"N00145"	"Hsu Kuen San"	"許貫三"	"Xu Guansan"	"City Government of Greater Shanghai"	"Local government/administration"	"Bureau of Public Works"	"Chief engineer"		"Past"					"imh-34-461"	
"Engineering"	"Railway Engineering"	"Position"	"R00004"	"N00001"	"Jeme Tien Yow"	"詹天佑"	"Zhan Tianyou"	"Han-Yueh-Chuan Railway"	"Railway/Infrastructure"		"Director-general"		"Past"		1919	92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00001"	"N00001"	"Jeme Tien Yow"	"詹天佑"	"Zhan Tianyou"	"Peking-Kalgan Railway"	"Railway/Infrastructure"		"Surveyor"		"Past"		1919	91	114		
"Engineering"	"Railway Engineering"	"Position"	"R00002"	"N00001"	"Jeme Tien Yow"	"詹天佑"	"Zhan Tianyou"	"Peking-Kalgan Railway"	"Railway/Infrastructure"		"Draughtsman"		"Past"		1919	91	114		
"Engineering"	"Railway Engineering"	"Position"	"R00003"	"N00001"	"Jeme Tien Yow"	"詹天佑"	"Zhan Tianyou"	"Peking-Kalgan Railway"	"Railway/Infrastructure"		"Engineer-in-chief"		"Past"		1919	91	114		
"Engineering"	"Chemical Engineering"	"Position"	"R00063"	"N00033"	"F. C. Tsu"	"諸鳳章"	"Zhu Fengzhang"	"Ming-Fong Paper Mills"	"Private company"		"Manager"	1	"Current"			95	118		
"Engineering"	"Chemical Engineering"	"Position"	"R00064"	"N00033"	"F. C. Tsu"	"諸鳳章"	"Zhu Fengzhang"	"Ming-Fong Paper Mills"	"Private company"		"Chief engineer"	1	"Current"			95	118		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00152"	"N00096"	"T. K. Tse"	"謝作楷"	"Xie Zuokai"	"Canton Electrical Power Company"	"Private company"		"Manager"	2	"Past"			101	124		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00153"	"N00096"	"T. K. Tse"	"謝作楷"	"Xie Zuokai"	"Canton Electrical Power Company"	"Private company"		"Chief engineer"	2	"Past"			101	124		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00154"	"N00096"	"T. K. Tse"	"謝作楷"	"Xie Zuokai"	"Shanghai Western District Power Company"	"Private company"		"Vice-president"	1	"Current"			101	124		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00155"	"N00096"	"T. K. Tse"	"謝作楷"	"Xie Zuokai"	"Shanghai Western District Power Company"	"Private company"		"General Manager"	1	"Current"			101	124		
"Engineering"	"Engineering Research"	"Position"	"R00212"	"N00138"	"C. F. Lai"	"賴其芳"	"Lai Qifang"	"Chiao-Tung University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Electrical Communication"	"Position"	"R00177"	"N00112"	"T. C. Tsao"	"趙曾珏"	"Zhao Cengjue"	"Chekiang Provincial Telephone Administration"	"Local government/administration"		"Director"	1	"Past"	1932		103	126		
"Engineering"	"Electrical Communication"	"Position"	"R00178"	"N00112"	"T. C. Tsao"	"趙曾珏"	"Zhao Cengjue"	"Chekiang Provincial Telephone Administration"	"Local government/administration"		"Chief engineer"	1	"Past"	1932		103	126		
"Engineering"	"Architecture"	"Position"	"R00113"	"N00064"	"Shen Chao"	"趙深"	"Zhao Shen"	"United Architects"	" Shanghai"	"Private company"				"Current"			98	121	
"Engineering"	"Highway Engineering"	"Position"	"R00221"	"N00144"	"Tsu-kong Chao"	"趙祖康"	"Zhao Zukang"	"Ministry of Railways"	"Central government/administration"		"Student envoy"		"Past"					"imh-74-74"	
"Engineering"	"Highway Engineering"	"Position"	"R00226"	"N00144"	"Tsu-kong Chao"	"趙祖康"	"Zhao Zukang"	"National Economic Council"	"Central government/administration"	"Bureau of Roads"	"Vice-director"	1	"Current"	1932	1938			"imh-74-74"	
"Engineering"	"Highway Engineering"	"Position"	"R00222"	"N00144"	"Tsu-kong Chao"	"趙祖康"	"Zhao Zukang"	"Nanyang University"	"Education/research"		"Secretary"		"Past"					"imh-74-74"	
"Engineering"	"Highway Engineering"	"Position"	"R00223"	"N00144"	"Tsu-kong Chao"	"趙祖康"	"Zhao Zukang"	"Nanyang University"	"Education/research"		"Professor"		"Past"					"imh-74-74"	
"Engineering"	"Highway Engineering"	"Position"	"R00224"	"N00145"	"Tsu-kong Chao"	"趙祖康"	"Zhao Zukang"	"6th International Road Congress in Washington"	" D.C."	"Organization"		"Delegate"		"Past"	1930				"imh-74-74"
"Engineering"	"Highway Engineering"	"Position"	"R00225"	"N00144"	"Tsu-kong Chao"	"趙祖康"	"Zhao Zukang"	"7th International Road Congress in Munich"	"Organization"		"Delegate"		"Past"	1934				"imh-74-74"	
"Engineering"	"Highway Engineering"	"Position"	"R00227"	"N00144"	"Tsu-kong Chao"	"趙祖康"	"Zhao Zukang"	"Interprovincial Highway Traffic Commission of Kiangsu"	" Chekiang and Anhwei"	"Railway/Infrastructure"		"Chairman"	1	"Current"					"imh-74-74"
"Engineering"	"Municipal Works"	"Position"	"R00127"	"N00081"	"Hsin Chee-Sing"	"邢契辛"	"Xing Qixin"	"Tsingtao Municipal Government"	"Local government/administration"	"Public Works Department"	"Director"	1	"Current"			100	123		
"Engineering"	"Municipal Works"	"Position"	"R00126"	"N00081"	"Hsin Chee-Sing"	"邢契辛"	"Xing Qixin"	"North Eastern Shipbuilding Company"	"Private company"		"Chief Engineer"	1	"Past"			100	123		
"Engineering"	"Railway Engineering"	"Position"	"R00023"	"N00007"	"E. K. Denn"	"鄧益光"	"Deng Yiguang"	"Chengtu-Chungking Railway"	"Railway/Infrastructure"		"Director"	1	"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00024"	"N00007"	"E. K. Denn"	"鄧益光"	"Deng Yiguang"	"Chengtu-Chungking Railway"	"Railway/Infrastructure"		"Chief engineer"	1	"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00022"	"N00007"	"E. K. Denn"	"鄧益光"	"Deng Yiguang"	"Kiaochow-Tsinan Railway"	"Railway/Infrastructure"		"Chief engineer"		"Past"			93	116		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00086"	"N00045"	"C. T. Chien"	"錢昌祚"	"Qian Changzuo"	"Commission on Aeronautical Affairs"	"Central government/administration"	"Technical Division"	"Chief"	1	"Past"			97	120		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00087"	"N00045"	"C. T. Chien"	"錢昌祚"	"Qian Changzuo"	"Air Force Technical School"	"Education/research"		"Commandant"	1	"Current"			97	120		
"Engineering"	"Mechanical Engineering"	"Position"	"R00108"	"N00060"	"Z. P. Zien"	"錢祥標"	"Qian Xiangbiao"	"China Wire Products Company"	"Private company"		"Manager"	1	"Current"			98	121		
"Engineering"	"Mechanical Engineering"	"Position"	"R00109"	"N00060"	"Z. P. Zien"	"錢祥標"	"Qian Xiangbiao"	"China Wire Products Company"	"Private company"		"Chief engineer"	1	"Current"			98	121		
"Engineering"	"Electrical Manufacture"	"Position"	"R00193"	"N00122"	"S. L. Chung"	"鍾兆琳"	"Zhong Zhaolin"	"National Construction Commission"	"Central government/administration"	"Radio administration"	"Consulting engineer"		"Current"			104	127		
"Engineering"	"Electrical Manufacture"	"Position"	"R00192"	"N00122"	"S. L. Chung"	"鍾兆琳"	"Zhong Zhaolin"	"Chiao-Tung University"	"Education/research"		"Professor"		"Current"			104	127		
"Engineering"	"Architecture"	"Position"	"R00110"	"N00061"	"S. S. Kwan"	"關頌聲"	"Guan Songsheng"	"Kwan"	" Chu and Yang Architects and Engineers"	"Private company"				"Current"			98	121	
"Engineering"	"Engineering Research"	"Position"	"R00201"	"N00128"	"C S. Chen"	"陳中熙"	"Chen Zhongxi"	"National Construction Commission"	"Central government/administration"	"Electrical Laboratory"	"Researcher"		"Past"			105	128		
"Engineering"	"Engineering Research"	"Position"	"R00200"	"N00128"	"C S. Chen"	"陳中熙"	"Chen Zhongxi"	"General Electric Company"	"Private company"				"Past"			105	128		
"Engineering"	"Mining Engineering"	"Position"	"R00083"	"N00043"	"Chen Ta-Seu"	"陳大受"	"Chen Dashou"	"National Construction Commission"	"Central government/administration"	"Mining department"	"Department Head"	1	"Current"			96	119		
"Engineering"	"Architecture"	"Position"	"R00114"	"N00065"	"B. Chih Chen"	"陳植"	"Chen Zhi"	"United Architects"	" Shanghai"	"Private company"				"Current"			98	121	
"Engineering"	"Railway Engineering"	"Position"	"R00026"	"N00008"	"T. Y. Chen"	"陳祖貽"	"Chen Zuyi"	"Chengtu-Chungking Railway"	"Railway/Infrastructure"		"Assistant director"	2	"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00025"	"N00008"	"T. Y. Chen"	"陳祖貽"	"Chen Zuyi"	"Tientsin-Pukow Railway"	"Railway/Infrastructure"	"Han-Pu section"	"Chief engineer"		"Past"			93	116		
"Engineering"	"Engineering Research"	"Position"	"R00199"	"N00127"	"M. K. Chen"	"陳茂康"	"Chen Maokang"	"Academia Sinica"	"Education/research"	"Institute of physics"	"Researcher"		"Current"			105	128		
"Engineering"	"Electrical Manufacture"	"Position"	"R00185"	"N00117"	"F. L. Chen"	"陳輔良"	"Chen Fuliang"	"Asiatic Manufacturing Company"	"Private company"		"Chief Engineer"	1	"Current"			104	127		
"Engineering"	"Electrical Manufacture"	"Position"	"R00186"	"N00117"	"F. L. Chen"	"陳輔良"	"Chen Fuliang"	"Eastern Neon Light Company"	"Private company"		"Chief Engineer"	1	"Current"			104	127		
"Engineering"	"Electrical Manufacture"	"Position"	"R00184"	"N00117"	"F. L. Chen"	"陳輔良"	"Chen Fuliang"	"Westinghouse Electric Mfg. Company"	"Private company"	"Graduate School"	"Student engineer"	3	"Past"			104	127		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00158"	"N00099"	"Fountain C. Chen"	"陳長源"	"Chen Changyuan"	"Hangchow Electricity Works"	"Local government/administration"		"Chief engineer"	1	"Current"			101	124		
"Engineering"	"Electrical Communication"	"Position"	"R00169"	"N00107"	"F. S. Tao"	"陶鳳山"	"Tao Fengshan"	"Ministry of Communications"	"Central government/administration"	"Department of Telegraph and Telephone"	"Section head"	2	"Current"			103	126		
"Engineering"	"Electrical Communication"	"Position"	"R00168"	"N00107"	"F. S. Tao"	"陶鳳山"	"Tao Fengshan"	"Western Electric Company"	"Private company"		"Student engineer"	3	"Past"			103	126		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00149"	"N00093"	"F. T. Loh"	"陸法會"	"Lu Fahui"	"National Construction Commission"	"Central government/administration"	"Capital Electricity Works (Nanking)"	"Chief engineer"	2	"Current"			101	124		
"Engineering"	"Electrical Communication"	"Position"	"R00165"	"N00104"	"E. F. Wei"	"韋以黻"	"Wei Yifu"	"Ministry of Communications"	"Central government/administration"		"Chief technical expert"	1	"Current"			102	125		
"Engineering"	"River Conservancy"	"Position"	"R00044"	"N00018"	"K. Shu"	"須愷"	"Xu Kai"	"Huai River Commission"	"Railway/Infrastructure"		"Assistant chief engineer"	2	"Current"			94	117		
"Engineering"	"Electrical Communication"	"Position"	"R00166"	"N00105"	"K. L. Yuen"	"顏任光"	"Yan Renguang"	"Ministry of Communications"	"Central government/administration"	"Department of Telegraph and Telephone"	"Director-general"	1	"Current"			103	126		
"Engineering"	"Railway Engineering"	"Position"	"R00007"	"N00002"	"T. C. Yen"	"顏德慶"	"Yan Deqing"	"Ministry of Railways"	"Central government/administration"		"Managing-director"		"Current"			92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00006"	"N00002"	"T. C. Yen"	"顏德慶"	"Yan Deqing"	"Cheng-Tai Railway"	"Railway/Infrastructure"		"Chief technical expert"		"Current"			92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00005"	"N00002"	"T. C. Yen"	"顏德慶"	"Yan Deqing"	"Peking-Kalgan Railway"	"Railway/Infrastructure"		"Engineer"		"Past"			92	115		
"Engineering"	"Engineering Research"	"Position"	"R00202"	"N00129"	"Y. H. Ku"	"顧毓琇"	"Gu Yuxiu"	"Tsing-Hua University"	"Education/research"	"Engineering College"	"Director"		"Current"			105	128		
"Engineering"	"Mechanical Engineering"	"Position"	"R00102"	"N00057"	"Yu-Tsuan Ku"	"顧毓瑔"	"Gu Yuquan"	"Ministry of Industries"	"Central government/administration"	"National Bureau of Industrial Research"	"Senior technical expert"	1	"Current"			97	120		
"Engineering"	"Mechanical Engineering"	"Position"	"R00103"	"N00057"	"Yu-Tsuan Ku"	"顧毓瑔"	"Gu Yuquan"	"Ministry of Industries"	"Central government/administration"	"National Bureau of Industrial Research"	"Director"	1	"Current"			97	120		
"Engineering"	"Mechanical Engineering"	"Position"	"R00101"	"N00057"	"Yu-Tsuan Ku"	"顧毓瑔"	"Gu Yuquan"	"National Central University"	"Education/research"		"Professor"		"Current"			97	120		
"Engineering"	"Naval Construction"	"Position"	"R00128"	"N00082"	"Palliam T. Mar"	"馬德驥"	"Ma Deji"	"Kiangnan Dock and Engineering Works"	"Factory/mine/station"		"Director"	1	"Current"			100	123		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00159"	"N00100"	"K. P. Pao"	"鮑國寶"	"Bao Guobao"	"Foochow Electric Company"	"Private company"		"Chief engineer"	1	"Current"			101	124		
"Engineering"	"Engineering Research"	"Position"	"R00213"	"N00139"	"S. P. Huang"	"黄叔培"	"Huang Shupei"	"Chiao-Tung University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Electrical Power Engineering"	"Position"	"R00156"	"N00097"	"S. Y. Lung"	"龍純如"	"Long Chunru"	"Wuchow Electricity Works"	"Local government/administration"		"Director"	1	"Current"			101	124		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00097"	"N00054"	"C. J. Chu"	"NA"	"NA"	"National Government Air Service"	"Central government/administration"		"Government senior engineer"		"Current"			97	120		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00092"	"N00049"	"C. Y. Liu"	"NA"	"NA"	"National Government Air Service"	"Central government/administration"		"Government senior engineer"		"Current"			97	120		
"Engineering"	"Highway Engineering"	"Position"	"R00236"	"N00153"	"Chang Hsia-yo"	"NA"	"NA"	"National Good Roads Association of China"	"Organization"	"4th International Good Roads Conference"	"Delegate"		"Past"						
"Engineering"	"Highway Engineering"	"Position"	"R00241"	"N00157"	"Chow Un-yin"	"NA"	"NA"	"National Good Roads Association of China"	"Organization"		"Director"		"Past"						
"Engineering"	"Highway Engineering"	"Position"	"R00242"	"N00157"	"Chow Un-yin"	"NA"	"NA"	"World Auto Transportation Conference"	"Organization"		"Delegate"		"Past"						
"Engineering"	"Highway Engineering"	"Position"	"R00234"	"N00151"	"Din-Sen Doon"	"NA"	"NA"	"Kiangsu Provincial Government"	"Local government/administration"	"Public Works Department"	"Director"	1	"Past"						
"Engineering"	"Aeronautical Engineering"	"Position"	"R00098"	"N00055"	"F. H. Hua"	"NA"	"NA"	"National Government Air Service"	"Central government/administration"		"Government senior engineer"		"Current"			97	120		
"Engineering"	"Highway Engineering"	"Position"	"R00239"	"N00156"	"Hsu Chen-ping"	"NA"	"NA"	"National Good Roads Association of China"	"Organization"		"Director"		"Past"						
"Engineering"	"Highway Engineering"	"Position"	"R00240"	"N00156"	"Hsu Chen-ping"	"NA"	"NA"	"Pan Pacific Association"	"Organization"		"Delegate"		"Past"						
"Engineering"	"Aeronautical Engineering"	"Position"	"R00096"	"N00053"	"Johnston Tseng"	"NA"	"NA"	"National Government Air Service"	"Central government/administration"		"Government senior engineer"		"Current"			97	120		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00094"	"N00051"	"M. T. Lee"	"NA"	"NA"	"National Government Air Service"	"Central government/administration"		"Government senior engineer"		"Current"			97	120		
"Engineering"	"Engineering Research"	"Position"	"R00206"	"N00132"	"N. Wiener"	"NA"	"NA"	"Tsing-Hua University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00095"	"N00052"	"P. L. Li"	"NA"	"NA"	"National Government Air Service"	"Central government/administration"		"Government senior engineer"		"Current"			97	120		
"Engineering"	"Aeronautical Engineering"	"Position"	"R00093"	"N00050"	"P. N. Tien"	"NA"	"NA"	"National Government Air Service"	"Central government/administration"		"Government senior engineer"		"Current"			97	120		
"Engineering"	"Highway Engineering"	"Position"	"R00237"	"N00154"	"Pan Shao-chien"	"NA"	"NA"	"National Good Roads Association of China"	"Organization"	"5th International Good Roads Conference"	"Delegate"		"Past"						
"Engineering"	"Highway Engineering"	"Position"	"R00235"	"N00152"	"Pao-Hwa Reo"	"NA"	"NA"	"Shensi Provincial Government"	"Local government/administration"	"Public Works Department"	"Director"	1	"Current"						
"Engineering"	"Highway Engineering"	"Position"	"R00231"	"N00148"	"Pei-Sien Sun"	"NA"	"NA"	"Kiangsu Provincial Government"	"Local government/administration"	"Public Works Department"	"Director"	1	"Current"						
"Engineering"	"Highway Engineering"	"Position"	"R00229"	"N00146"	"Su-Sun Weng"	"NA"	"NA"	"Canton Municipal Government"	"Local government/administration"	"Bureau of Public Works"	"Director"	1	"Current"						
"Engineering"	"Highway Engineering"	"Position"	"R00238"	"N00155"	"Sun Mao"	"NA"	"NA"	"National Good Roads Association of China"	"Organization"	"6th International Good Roads Conference"	"Delegate"		"Past"						
"Engineering"	"Highway Engineering"	"Position"	"R00230"	"N00147"	"Te-Chen Cheng"	"NA"	"NA"	"Fukien Provincial Government"	"Local government/administration"	"Finance Department"	"Director"	1	"Current"						
"Engineering"	"Highway Engineering"	"Position"	"R00233"	"N00150"	"Te-Kong Hsu"	"NA"	"NA"	"Kiangsu Provincial Government"	"Local government/administration"	"Public Works Department"	"Secretary"	2	"Current"						
"Engineering"	"Highway Engineering"	"Position"	"R00232"	"N00149"	"Yang-Pu Tseng"	"NA"	"NA"	"Canton Municipal Government"	"Local government/administration"		"Mayor"	1	"Current"						
