"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"FullName"	"Chinese"	"Pinyin"	"Organisation"	"Type"	"Sublevel"	"Position"	"Rank"	"Status"	"Year_start"	"Year_end"	"Page"	"PDF"	"other_source"	
"Engineering"	"Textile Engineering"	"Position"	"R00138"	"N00087"	"Y. T. Chow"	"周延鼎"	"Zhou Yanding"	"Wei-Lun Silk Filature"	"Private company"		"Engineer"	1	"Current"			100	123		
"Engineering"	"Electrical Manufacture"	"Position"	"R00181"	"N00115"	"G. Chow"	"周琦"	"Zhou Qi"	"Chinese National Electric and Pottery Company"	"Private company"		"Founder"		"Past"			104	127		
"Engineering"	"Municipal Works"	"Position"	"R00123"	"N00079"	"Z. Y. Chow"	"周象賢"	"Zhou Xiangxian"	"Hangchow Municipal Government"	"Local government/administration"		"Mayor"	1	"Past"			99	122		
"Engineering"	"Electrical Manufacture"	"Position"	"R00191"	"N00121"	"M. Chow"	"周銘"	"Zhou Ming"	"National Construction Commission"	"Central government/administration"	"Electrical manufacturing works"	"Consulting engineer"		"Current"			104	127		
"Engineering"	"Electrical Manufacture"	"Position"	"R00190"	"N00121"	"M. Chow"	"周銘"	"Zhou Ming"	"Chiao-Tung University"	"Education/research"		"Professor"		"Current"			104	127		
"Engineering"	"River Conservancy"	"Position"	"R00052"	"N00024"	"C. L. Chow"	"周鎭倫"	"Zhou Zhenlun"	"Chekiang Conservancy Bureau"	"Local government/administration"		"Chief engineer"	1	"Current"			94	117		
"Engineering"	"Mining Engineering"	"Position"	"R00079"	"N00039"	"K. C. Chow"	"周開基"	"Zhou Kaiji"	"Tayeh Iron Works"	"Factory/mine/station"	"Mining department"	"Director"		"Current"			96	119		
"Engineering"	"Naval Construction"	"Position"	"R00131"	"N00085"	"P. Y. Tang"	"唐炳源"	"Tang Bingyuan"	"Ching-Fong Weaving and Spinning Company"	" Ltd."	"Private company"		"Manager"	1	"Current"			100	123	
"Engineering"	"Naval Construction"	"Position"	"R00132"	"N00085"	"P. Y. Tang"	"唐炳源"	"Tang Bingyuan"	"Ching-Fong Weaving and Spinning Company"	" Ltd."	"Private company"		"Chief engineer"	1	"Current"			100	123	
"Engineering"	"Engineering Research"	"Position"	"R00218"	"N00142"	"H. W. Sun"	"孫學悟"	"Sun Xuewu"	"Golden Sea Research Institute"	"Education/research"		"Director"		"Current"			105	128		
"Engineering"	"Railway Engineering"	"Position"	"R00028"	"N00009"	"P. T. Sun"	"孫寶墀"	"Sun Baochi"	"Chengtu-Chungking Railway"	"Railway/Infrastructure"	"Planning Division"	"Chief"	3	"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00027"	"N00009"	"P. T. Sun"	"孫寶墀"	"Sun Baochi"	"Kiaochow-Tsinan Railway"	"Railway/Infrastructure"		"Engineer"		"Past"			93	116		
"Engineering"	"Mining Engineering"	"Position"	"R00080"	"N00040"	"C. K. Sun"	"孫昌克"	"Sun Changke"	"Kai-Lou Coal Mining Company"	"Private company"		"Mining engineer"	2	"Current"			96	119		
"Engineering"	"River Conservancy"	"Position"	"R00040"	"N00015"	"F. S. Shen"	"孫輔世"	"Sun Fushi"	"Tai-Hu Conservancy Board"	"Railway/Infrastructure"				"Past"			93	116		
"Engineering"	"River Conservancy"	"Position"	"R00041"	"N00015"	"F. S. Shen"	"孫輔世"	"Sun Fushi"	"Yangtse River Commission"	"Railway/Infrastructure"		"Chief engineer"		"Current"			93	116		
"Engineering"	"Municipal Works"	"Position"	"R00125"	"N00080"	"H. S. Sung"	"宋希尙"	"Song Xishang"	"Nanking Municipal Government"	"Local government/administration"	"Public Works Department"	"Director"	1	"Current"			99	122		
"Engineering"	"Municipal Works"	"Position"	"R00124"	"N00080"	"H. S. Sung"	"宋希尙"	"Song Xishang"	"Yangtse River Commission"	"Railway/Infrastructure"		"Chief Engineer"	1	"Past"			99	122		
"Engineering"	"River Conservancy"	"Position"	"R00053"	"N00025"	"T. C. Hsi"	"席德炯"	"Xi Dejiong"	"Kiang-Han Engineering Bureau (Hankow)"	"Local government/administration"		"Director"	1	"Current"			94	117		
"Engineering"	"Engineering Research"	"Position"	"R00217"	"N00141"	"Ke-Chung Chang"	"張克忠"	"Zhang Kezhong"	"Golden Sea Research Institute"	"Education/research"		"Researcher"		"Current"			105	128		
"Engineering"	"Engineering Research"	"Position"	"R00216"	"N00141"	"Ke-Chung Chang"	"張克忠"	"Zhang Kezhong"	"Nankai University"	"Education/research"	"Applied Chemistry Research Lab"	"Researcher"		"Current"			105	128		
