"","Organization","degree2","eigen2","betw2","close2","Type","Type2"
"1","Agricultural Industrial Bank",0.0828877005347594,0.1131383568053,12.4424454522412,0.00134048257372654,"Business","Finance"
"2","Allman and Company",0.0374331550802139,0.079700895913929,10.2283160213214,0.00115606936416185,"Business",NA
"3","Alpha Kappa Kappa",0.018716577540107,0.047924602694268,1.36863843614232,0.0011037527593819,"Association",NA
"4","American Bar Association",0.0935828877005348,0.248417624543132,268.292891485543,0.00133689839572193,"Association",NA
"5","American Bar Association of China",0.0374331550802139,0.0879068770665483,5.0456022948107,0.00131406044678055,"Association",NA
"6","American Boy Scouts",0.0427807486631016,0.0589846401110533,0.94818605278356,0.0011454753722795,"Association",NA
"7","American Chamber of Commerce",0.17379679144385,0.317383565729905,464.746531652386,0.00131233595800525,"Association",NA
"8","American Church Mission",0.053475935828877,0.077615025124182,124.389291147523,0.0012970168612192,"Other","Religion"
"9","American Club",0.385026737967914,0.851303208098283,3824.55877014525,0.00148367952522255,"Association",NA
"10","American College of Surgeons",0.0508021390374332,0.0876879793592279,19.1229926705348,0.00131061598951507,"Education","US"
"11","American Concrete Institute",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Other","Research"
"12","American Dental Association",0.0454545454545455,0.0542968834945656,0.061110520166604,0.00128369704749679,"Association",NA
"13","American Expeditionary Forces",0.0347593582887701,0.0755304364255766,3.88147513893552,0.00125470514429109,"Other","Military"
"14","American Institute of Architects",0.0989304812834225,0.161407551919622,9.58489108087432,0.00134952766531714,"Association",NA
"15","American Medical Association",0.0508021390374332,0.087687979359228,19.1229926705348,0.00131061598951507,"Association",NA
"16","American Oriental Bank",0.0347593582887701,0.0755304364255766,3.88147513893552,0.00125470514429109,"Business","Finance"
"17","American Oriental Banking Corporation",0.0347593582887701,0.0755304364255766,3.88147513893552,0.00125470514429109,"Business","Finance"
"18","American Oriental Finance Corporation",0.0347593582887701,0.0755304364255766,3.88147513893552,0.00125470514429109,"Business","Finance"
"19","American Railway Engineering Association",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Association",NA
"20","American Red Cross Society",0.0294117647058824,0.0463043107473505,4.06183138351976,0.00127064803049555,"Other","Philanthropy"
"21","American Returned Students' Association",0.131016042780749,0.221346970466584,542.512293988918,0.00137741046831956,"Association",NA
"22","American Society for Testing Materials",0.0935828877005348,0.0574305899789668,2.18104109254107,0.00119760479041916,"Association",NA
"23","American Society of Civil Engineers",0.0935828877005348,0.0574305899789667,2.18104109254107,0.00119760479041916,"Association",NA
"24","American Troop Shanghai Volunteer Corps",0.0882352941176471,0.240477136209721,128.79099920145,0.00122549019607843,"Other","Military"
"25","American University Club",0.665775401069519,1,17201.8097241831,0.00183150183150183,"Association",NA
"26","Andersen Meyer & Co. Ltd",0.10427807486631,0.18717221712866,166.354063367802,0.00131233595800525,"Business",NA
"27","Army Y.M.C.A.",0.0989304812834225,0.161407551919622,9.58489108087432,0.00134952766531714,"Other","Military"
"28","Asia Electric Co. Federal Inc",0.0347593582887701,0.0755304364255767,3.88147513893552,0.00125470514429109,"Business",NA
"29","Asia Realty Co",0.0668449197860963,0.114185088315003,204.754448540964,0.00126742712294043,"Business",NA
"30","Association of Chinese and American Engineers",0.0935828877005348,0.0574305899789668,2.18104109254107,0.00119760479041916,"Association",NA
"31","Awakening Lion",0.0454545454545455,0.0542968834945656,0.061110520166604,0.00128369704749679,NA,NA
"32","Bankers Trust Company",0.0240641711229947,0.0259179797565966,0.466800169485591,0.00104058272632674,"Business","Finance"
"33","Battle Creek College",0.0374331550802139,0.0606788155295701,5.53969811306975,0.0012531328320802,"Education","US"
"34","Blumenthal Velvet Mill",0.0668449197860963,0.106815559277266,4.66289819388815,0.00128865979381443,"Business",NA
"35","Board of Dental Examiners",0.0454545454545455,0.0542968834945656,0.061110520166604,0.00128369704749679,"Administration","Foreign"
"36","Board of Health of Indianapolis",0.0427807486631016,0.0930235853892928,7.55217857554123,0.0012970168612192,"Administration","Foreign"
"37","Boone College",0.0695187165775401,0.0513155809208645,3.37492408359621,0.00121654501216545,"Education","China"
"38","Bowdoin College",0.0374331550802139,0.0879068770665483,5.0456022948107,0.00131406044678055,"Education","US"
"39","Boylston Medical Society",0.0508021390374332,0.087687979359228,19.1229926705348,0.00131061598951507,"Association",NA
"40","British-American Tobacco Co",0.0240641711229947,0.0442564509839196,0.281629917711398,0.00105485232067511,"Business",NA
"41","Butler University",0.0427807486631016,0.0930235853892928,7.55217857554123,0.0012970168612192,"Education","US"
"42","Butterfield & Swire",0.0962566844919786,0.164740301923753,201.912889489307,0.0013986013986014,"Business",NA
