"","order","size","diameter","average_path","density","average_degree","transitivity","dominance"
"Phase1",49,35,4,2,0.0297619047619048,1.42857142857143,0.253012048192771,0.930597662220936
"Phase2",82,92,6,2.98396624472574,0.0277024992472147,2.24390243902439,0.195227765726681,0.900638772933955
"Phase3",82,80,6,3.40943113772455,0.0240891297801867,1.95121951219512,0.114441416893733,0.884752212982287
