"","PlaceLabel","Degree","DegreeN","Eig","Betw","Close","PlaceNumber","NbElements","NbSets","PlaceDetail"
"86","P088(1-2)",39,0.214285714285714,0.821320214713417,256.298724616278,0.00282485875706215,88,1,2,"{Liang_Chi-tai} - {Columbia;Wisconsin}"
"87","P089(1-2)",10,0.0549450549450549,0.0486877365855717,0,0.00223214285714286,89,1,2,"{Lin_D.Y.} - {Massachusetts Agricultural College;Yale}"
"88","P090(1-2)",20,0.10989010989011,0.122131857068753,537.060833333333,0.00229885057471264,90,1,2,"{Lin_Hsi-cheah} - {Chicago;Iowa State}"
"89","P091(1-2)",32,0.175824175824176,0.8035231964345,0.916448657178062,0.00274725274725275,91,1,2,"{Ling_C.P.} - {Columbia;Rochester}"
"90","P092(1-2)",10,0.0549450549450549,0.0485296993736019,181,0.00216919739696312,92,1,2,"{Ling_T.G.} - {Brown;Cornell}"
"91","P093(1-2)",35,0.192307692307692,0.196734377013474,493.692783375372,0.00265957446808511,93,1,2,"{Lo_Pan H.} - {Chicago;Harvard}"
"92","P095(1-2)",10,0.0549450549450549,0.0485296993736019,181,0.00216919739696312,95,1,2,"{Lockhart_Oliver C.} - {Cornell;Indiana}"
"93","P096(1-2)",18,0.0989010989010989,0.0806343478134045,0,0.00240384615384615,96,1,2,"{Lockwood_William W.} - {DePauw;Harvard}"
"94","P097(1-2)",12,0.0659340659340659,0.0487745196410356,360,0.00224215246636771,97,1,2,"{Loh_Kai Zung} - {Vanderbilt;Yale}"
"95","P098(1-2)",39,0.214285714285714,0.818611813174758,371.526284572896,0.00280898876404494,98,1,2,"{Loh_Pao-Kan} - {Columbia;Illinois}"
"96","P099(1-2)",30,0.164835164835165,0.174744639170305,404.984516616818,0.0025974025974026,99,1,2,"{Loo_W.Y.} - {California;Pennsylvania}"
"97","P100(1-2)",9,0.0494505494505494,0.0484878128062334,0,0.00216450216450216,100,1,2,"{Mao_T.E.} - {Carnegie Institute of Technology;Cornell}"
"98","P101(1-2)",32,0.175824175824176,0.8035231964345,0.916448657178062,0.00274725274725275,101,1,2,"{Martin_Paul} - {Butler;Columbia}"
"99","P102(1-2)",7,0.0384615384615385,0.030291858995586,360,0.00199600798403194,102,1,2,"{May_Samuel C.C.} - {Massachusetts Institute of Technology;Rensselaer Polytechnic Institute}"
"100","P103(1-2)",18,0.0989010989010989,0.0911161484912714,0.182478632478632,0.00226757369614512,103,1,2,"{McCracken_J.C.} - {Cooper;Pennsylvania}"
"101","P104(1-2)",27,0.148351648351648,0.125489200354674,307.036885323737,0.0025706940874036,104,1,2,"{Meilman_Samuel L.} - {Cornell;Harvard}"
"102","P105(1-2)",11,0.0604395604395604,0.0487297958586237,181,0.00223713646532438,105,1,2,"{Millican_Frank R.} - {Reed;Yale}"
"103","P106(1-2)",14,0.0769230769230769,0.0781012328780419,113.637570659475,0.0023696682464455,106,1,2,"{Moh_H.Y.} - {Illinois;Wisconsin}"
"104","P107(1-2)",17,0.0934065934065934,0.121795564532371,0.0608333333333333,0.00228310502283105,107,1,2,"{Moy_Ernest K.} - {Chicago;Jenner Medical College}"
"105","P108(1-2)",22,0.120879120879121,0.118606077983308,132.941081141081,0.00232558139534884,108,1,2,"{O'Hara_Floyd J.} - {Minnesota;Pennsylvania}"
"106","P109(1-2)",8,0.043956043956044,0.044161792878752,0,0.00214132762312634,109,1,2,"{Patton_C.E.} - {Hanover College;Princeton}"
"107","P110(1-2)",18,0.0989010989010989,0.0806343478134045,0,0.00240384615384615,110,1,2,"{Raven_Walter F.} - {Harvard;Santa Clara}"
"108","P111(1-2)",17,0.0934065934065934,0.121795564532371,0.0608333333333333,0.00228310502283105,111,1,2,"{Rehn_Henry J.} - {Chicago;Oregon State}"
"109","P112(1-2)",5,0.0274725274725275,0.0302379615897546,0,0.00198807157057654,112,1,2,"{Robbins_F.L.} - {Massachusetts College of Pharmacy;Massachusetts Institute of Technology}"
"110","P113(1-2)",26,0.142857142857143,0.121284896625455,279.968884240339,0.00255102040816327,113,1,2,"{Roberts_Donald} - {Harvard;Princeton}"
"111","P114(1-2)",32,0.175824175824176,0.8035231964345,0.916448657178062,0.00274725274725275,114,1,2,"{Rodger_H.D.} - {Chattanooga;Columbia}"
"112","P115(1-2)",22,0.120879120879121,0.0955808155532223,155.684189726682,0.00238663484486874,115,1,2,"{Shaw_Albert T.H.} - {Pennsylvania;Washington}"
"113","P116(1-2)",18,0.0989010989010989,0.0806343478134044,0,0.00240384615384615,116,1,2,"{Shih_Kuo-Kang} - {Beloit;Harvard}"
"114","P117(1-2)",22,0.120879120879121,0.0920857053411199,113.014417451314,0.0025062656641604,117,1,2,"{Soong_T.V.} - {Harvard;St. John's University}"
"115","P118(1-2)",20,0.10989010989011,0.200748357955736,242.923615434149,0.00248138957816377,118,1,2,"{Speers_J.M._Jr.} - {New York University;Princeton}"
"116","P119(1-2)",35,0.192307692307692,0.813733835222893,77.8084402139529,0.00277008310249307,119,1,2,"{Sung_William Z.L.} - {Columbia;Oberlin}"
"117","P120(1-2)",1,0.00549450549450549,0.00115739705007047,0,0.00153139356814701,120,1,2,"{Tai_Tse-Chien} - {Iowa;New York State}"
"118","P121(1-2)",29,0.159340659340659,0.246381613399325,247.373300920761,0.00254452926208651,121,1,2,"{Tang_Paul} - {New York University;Pennsylvania}"
"119","P122(1-2)",20,0.10989010989011,0.0997611708577555,61.7976730800255,0.0023696682464455,122,1,2,"{Tsai_Eaton K.C.} - {Grinnell;Pennsylvania}"
"120","P123(1-2)",29,0.159340659340659,0.276197838343755,317.083806294761,0.00257731958762887,123,1,2,"{Tsai_Shing Wu} - {Chicago;New York University}"
"121","P124(1-2)",7,0.0384615384615385,0.0387877412966983,0,0.00211416490486258,124,1,2,"{Tsiang_K.S.} - {Illinois;Louisiana}"
"122","P125(1-2)",17,0.0934065934065934,0.0843799210694099,142.447568118156,0.00238663484486874,125,1,2,"{Tsou_Shang-Hsiung} - {Illinois;Michigan}"
"123","P126(1-2)",18,0.0989010989010989,0.0902371300934821,209.948059306535,0.00239808153477218,126,1,2,"{Wang_C.H.} - {Princeton;Yale}"
"124","P127(1-2)",18,0.0989010989010989,0.0806343478134045,0,0.00240384615384615,127,1,2,"{Wang_C.Y.} - {Harvard;Tufts}"
"125","P128(1-2)",36,0.197802197802198,0.809643062371531,379.239762808766,0.00280112044817927,128,1,2,"{Wang_K.S.} - {Columbia;Ohio State}"
"126","P129(1-2)",14,0.0769230769230769,0.0610379388091475,46.7279509379509,0.0023094688221709,129,1,2,"{Wang_Thomas Chenting} - {St. John's University;Yale}"
"127","P130(1-2)",19,0.104395604395604,0.129577395802185,65.8208262131923,0.00238663484486874,130,1,2,"{Wang_Tsu-lien} - {Chicago;Grinnell}"
"128","P131(1-2)",20,0.10989010989011,0.151187181909898,70.3932332039567,0.00239234449760766,131,1,2,"{Wei_Sydney Koh} - {Chicago;Oberlin}"
"129","P132(1-2)",35,0.192307692307692,0.811608674611536,202.734044580347,0.00277008310249307,132,1,2,"{Wells_Ralph Crane} - {Colorado;Columbia}"
