"","order","size","diameter","average_path","density","average_degree","transitivity","dominance"
"Phase1",42,47,4,1.67708333333333,0.0545876887340302,2.23809523809524,0.833333333333333,0.844058353649633
"Phase2",105,347,6,2.53013314646111,0.0635531135531135,6.60952380952381,0.647148288973384,0.815601894196091
"Phase3",116,407,7,2.7506139154161,0.0610194902548726,7.01724137931035,0.70032154340836,0.826155679920359
