"NameID"	"Name"	"Chinese"	"Pinyin"	"Organisation"	"Type"	"Type2"
"N00008"	"HSU WEI-CHEN"	"徐維震"	"Xu Weizhen"	"Central Bank of China"	"Administration"	"Central"
"N00006"	"HO SHIH-CHEN"	"何世植"	"He Shizhi"	"Ch'ih Tze University"	"University"	"General"
"N00005"	"CH'EN TING-JUI"	"陳霆銳"	"Chen Tingrui"	"Chen's Private Practice"	"Business"	"Private practice"
"N00011"	"LI CHING-LUN"	"李錦綸"	"Li Jinguan"	"University of Chicago"	"Education"	"Bachelor"
"N00016"	"YU WEN TS'AN"	"余文燦"	"Yu Wencan"	"University of Chicago"	"Education"	"Doctor"
"N00007"	"HSIANG CHEN-CHUN"	"向哲濬"	"Xiang Zhejun"	"Chinese Commission for Investigation of Extraterritoriality"	"Administration"	"Commission"
"N00003"	"CHANG YU-CH'UAN"	"張煜全"	"Zhang Yuquan"	"Chinese Social and Political Science Association"	"Association"	"Professional"
"N00009"	"HU YI-KU"	"胡諳穀"	"Hu Angu"	"Chinkiang District Court"	"Judiciary"	"Local Court"
"N00004"	"CH'EN JU HSUAN"	"陳茹玄"	"Chen Ruxuan"	"Columbia University"	"Education"	"Bachelor"
"N00004"	"CH'EN JU HSUAN"	"陳茹玄"	"Chen Ruxuan"	"Columbia University"	"Education"	"Master"
"N00010"	"KUO YUN-KUAN"	"郭雲觀"	"Guo Yunguan"	"Columbia University"	"Education"	"NA"
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"Comparative Law School of China"	"University"	"Specialized"
"N00014"	"WU CHING-HSIUNG"	"吳經熊"	"Wu Jingxiong"	"Comparative Law School of China"	"University"	"Specialized"
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"Executive Yuan"	"Government"	"Central"
"N00007"	"HSIANG CHEN-CHUN"	"向哲濬"	"Xiang Zhejun"	"George Washington"	"Education"	"Bachelor"
"N00015"	"YANG YUNG-CH'ING"	"楊永淸"	"Yang Yongqing"	"George Washington"	"Education"	"Bachelor"
"N00015"	"YANG YUNG-CH'ING"	"楊永淸"	"Yang Yongqing"	"George Washington"	"Education"	"Master"
"N00002"	"CHANG F-YUN"	"張福運"	"Zhang Fuyun"	"Harvard University"	"Education"	"Bachelor"
"N00002"	"CHANG F-YUN"	"張福運"	"Zhang Fuyun"	"Harvard University"	"Education"	"Bachelor"
"N00016"	"YU WEN TS'AN"	"余文燦"	"Yu Wencan"	"Harvard University"	"Education"	"Bachelor"
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"Harvard University"	"Education"	"Doctor"
"N00004"	"CH'EN JU HSUAN"	"陳茹玄"	"Chen Ruxuan"	"University of Illinois"	"Education"	"Bachelor"
"N00009"	"HU YI-KU"	"胡諳穀"	"Hu Angu"	"University of Illinois"	"Education"	"Bachelor"
"N00009"	"HU YI-KU"	"胡諳穀"	"Hu Angu"	"University of Illinois"	"Education"	"Bachelor"
"N00003"	"CHANG YU-CH'UAN"	"張煜全"	"Zhang Yuquan"	"Imperial Examinations"	"Education"	"Jinshi"
