"","University","order","size","diameter","avgpath","density","avgdegree","compactness","transitivity","dominance"
"1","U1_Penn-Yale",13,15,4,2.33333333333333,0.192307692307692,2.30769230769231,0.50534188034188,0.183673469387755,0.698774318474299
"2","U2_Harvard",10,10,3,2.04444444444444,0.222222222222222,2,0.566666666666667,0.115384615384615,0.692651687270093
"3","U3_California-Cornell",10,12,3,2,0.266666666666667,2.4,0.588888888888889,0.28125,0.584072095566376
"4","U4_Columbia-NYU",21,29,5,2.36666666666667,0.138095238095238,2.76190476190476,0.493968253968254,0.176470588235294,0.784836814375109
"5","U5_MIT-Purdue",10,10,5,2.42222222222222,0.222222222222222,2,0.519259259259259,0.176470588235294,0.706478274317145
"6","U6_Chicago",14,16,4,2.23076923076923,0.175824175824176,2.28571428571429,0.522893772893773,0.18,0.748168920155038
"7","U7_Princeton-GWU-Northwestern",15,20,5,2.63809523809524,0.19047619047619,2.66666666666667,0.488571428571429,0.381818181818182,0.642919756432665
"8","U8_Michigan-Illinois",11,10,5,2.47272727272727,0.181818181818182,1.81818181818182,0.496060606060606,0,0.678647233234889
