"","Places","order","size","diameter","avgpath","density","avgdegree","compactness","transitivity","dominance"
"1","P1_Columbia",35,500,3,1.17478991596639,0.840336134453782,28.5714285714286,0.914285714285714,0.991869376874375,0.0887728879633462
"2","P2_NYU-Princeton",22,49,6,2.44588744588745,0.212121212121212,4.45454545454545,0.516810966810967,0.65,0.657559995415903
"3","P3_Chicago",21,173,3,1.2,0.823809523809524,16.4761904761905,0.903174603174603,0.987767584097859,0.102031639732298
"4","P4_California-Penn",20,113,3,1.44210526315789,0.594736842105263,11.3,0.791228070175439,0.95162404975812,0.268483058317581
"5","P5_Cornell-Michigan",26,84,5,2.12307692307692,0.258461538461538,6.46153846153846,0.572,0.746341463414634,0.639348276878387
"6","P6_Harvard",21,156,4,1.35238095238095,0.742857142857143,14.8571428571429,0.855952380952381,0.985904148207813,0.154271919175832
"7","P7_California-MIT",28,67,6,2.68253968253968,0.177248677248677,4.78571428571429,0.476102292768959,0.684507042253521,0.681017690875877
"8","P8_Yale-Vanderbilt",10,25,3,1.48888888888889,0.555555555555556,5,0.77037037037037,0.857142857142857,0.344806188888984
